                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1595,                0.87307,                0.85776,                0.85308,                0.86216,                0.87517,                0.60929,                 1.0675,                0.91585,                0.88901,                0.00604,                0.00604,                0.00604
                     82,                 0.9903,                0.96928,                0.93904,                0.85308,                0.86216,                0.87517,                0.60929,                 1.0675,                0.91585,                0.88901,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1088,                0.85468,                0.86899,                0.92015,                0.84314,                0.90242,                0.71089,                0.86767,                0.92044,                0.86105,               0.005941,               0.005941,               0.005941
                     84,                0.98998,                0.78985,                0.86373,                0.92015,                0.84314,                0.90242,                0.71089,                0.86767,                0.92044,                0.86105,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0675,                0.82734,                0.86607,                0.84783,                 0.8747,                0.90617,                0.65772,                0.98161,                0.84899,                0.87137,               0.005842,               0.005842,               0.005842
                     86,                 1.0714,                0.83418,                0.87555,                0.84783,                 0.8747,                0.90617,                0.65772,                0.98161,                0.84899,                0.87137,              0.0057925,              0.0057925,              0.0057925
                     87,                  1.031,                0.83361,                0.86637,                0.96538,                0.88148,                0.91336,                0.67952,                0.91057,                0.90992,                0.86518,               0.005743,               0.005743,               0.005743
                     88,                0.94874,                0.65831,                0.85323,                0.96538,                0.88148,                0.91336,                0.67952,                0.91057,                0.90992,                0.86518,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2072,                0.90672,                0.91355,                0.90595,                0.87614,                0.91888,                0.64663,                0.97844,                0.83995,                0.87258,               0.005644,               0.005644,               0.005644
                     90,                0.87314,                0.72176,                 0.8209,                0.90595,                0.87614,                0.91888,                0.64663,                0.97844,                0.83995,                0.87258,              0.0055945,              0.0055945,              0.0055945
                     91,                0.96563,                0.85656,                0.87129,                  0.952,                0.88148,                0.91213,                0.70615,                0.79184,                0.93228,                0.85235,               0.005545,               0.005545,               0.005545
                     92,                 1.0928,                0.86986,                0.89649,                  0.952,                0.88148,                0.91213,                0.70615,                0.79184,                0.93228,                0.85235,              0.0054955,              0.0054955,              0.0054955
                     93,                0.89881,                0.65335,                0.81289,                0.84703,                0.85662,                0.88445,                 0.6587,                0.99504,                 1.0196,                0.87124,               0.005446,               0.005446,               0.005446
                     94,                0.91463,                0.69364,                 0.8412,                0.84703,                0.85662,                0.88445,                 0.6587,                0.99504,                 1.0196,                0.87124,              0.0053965,              0.0053965,              0.0053965
                     95,                0.94545,                0.86973,                0.89137,                0.91997,                  0.854,                0.89845,                0.74488,                0.78696,                 1.0334,                 0.8533,               0.005347,               0.005347,               0.005347
