                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.42037,                0.46254,                0.88922,                0.98166,                      1,                  0.995,                 0.8955,                0.48265,                0.52978,                0.96479,             0.00038134,             0.00038134,             0.00038134
                     68,                0.36719,                0.39199,                0.90403,                0.98166,                      1,                  0.995,                 0.8955,                0.48265,                0.52978,                0.96479,             0.00037606,             0.00037606,             0.00037606
                     69,                0.33819,                0.44933,                 0.8968,                 0.9818,                      1,                  0.995,                 0.8955,                0.47853,                  0.491,                0.96784,             0.00037045,             0.00037045,             0.00037045
                     70,                0.47875,                0.46102,                 1.0199,                 0.9818,                      1,                  0.995,                 0.8955,                0.47853,                  0.491,                0.96784,             0.00036451,             0.00036451,             0.00036451
                     71,                0.41013,                0.45877,                 1.0215,                 0.9818,                      1,                  0.995,                 0.8955,                0.47853,                  0.491,                0.96784,             0.00035824,             0.00035824,             0.00035824
                     72,                 0.3677,                0.44836,                0.88132,                0.98048,                      1,                  0.995,                 0.8955,                0.50423,                0.63003,                 1.0294,             0.00035164,             0.00035164,             0.00035164
                     73,                0.33347,                0.41979,                0.96279,                0.98048,                      1,                  0.995,                 0.8955,                0.50423,                0.63003,                 1.0294,             0.00034471,             0.00034471,             0.00034471
                     74,                0.35791,                0.41484,                0.94057,                0.98048,                      1,                  0.995,                 0.8955,                0.50423,                0.63003,                 1.0294,             0.00033745,             0.00033745,             0.00033745
                     75,                0.45996,                0.55253,                0.96172,                0.98145,                      1,                  0.995,                 0.8955,                0.42705,                0.90914,                0.97785,             0.00032986,             0.00032986,             0.00032986
                     76,                0.31727,                0.50743,                 1.0198,                0.98145,                      1,                  0.995,                 0.8955,                0.42705,                0.90914,                0.97785,             0.00032194,             0.00032194,             0.00032194
                     77,                0.47005,                0.49382,                0.91826,                0.98145,                      1,                  0.995,                 0.8955,                0.42705,                0.90914,                0.97785,             0.00031369,             0.00031369,             0.00031369
                     78,                0.39303,                0.43171,                0.85183,                0.98122,                      1,                  0.995,                  0.995,                0.32866,                0.76831,                0.86246,             0.00030511,             0.00030511,             0.00030511
                     79,                0.31905,                0.41451,                0.86614,                0.98122,                      1,                  0.995,                  0.995,                0.32866,                0.76831,                0.86246,              0.0002962,              0.0002962,              0.0002962
                     80,                0.42779,                0.51237,                0.87573,                0.98122,                      1,                  0.995,                  0.995,                0.32866,                0.76831,                0.86246,             0.00028696,             0.00028696,             0.00028696
